OverallMean,Efficacy,Design,Prevalence,MeanN,ScreenProp,Mean,Median,Variance
6 EPG,80% True Efficacy,NS,194146,600,0,79.76324568389565,80.27689949219123,20.27737432196084
6 EPG,80% True Efficacy,SS,194146,166.876,0.7206318709316013,91.73063850657522,91.76954732510289,3.9401117017139757
6 EPG,80% True Efficacy,SSR1,194146,146.503,0.7546352510804659,79.39796651851388,80.21978021978022,34.94196483781929
6 EPG,80% True Efficacy,SSR2,194146,130.516,0.6721937625935775,79.48364473343517,79.84991039426522,24.45828093514818
6 EPG,80% True Efficacy,SSR3,194146,136.078,0.7012001700450513,79.55476275709589,79.95535714285714,24.923224270651655
6 EPG,95% True Efficacy,NS,193567,600,0,95.045078694566,95.23809523809523,3.6869137958417375
6 EPG,95% True Efficacy,SS,193567,166.862,0.7206317741306264,97.9469068383711,98.05824510602358,0.862826005449666
6 EPG,95% True Efficacy,SSR1,193567,146.221,0.7551909232410469,94.90541953024342,95.14563106796116,5.912907354979045
6 EPG,95% True Efficacy,SSR2,193567,130.272,0.6727589193430807,94.86881612821635,95,3.7092291732595988
6 EPG,95% True Efficacy,SSR3,193567,135.81,0.7018119192942945,94.8672057800441,95.1219512195122,3.8405992716268877
24 EPG,80% True Efficacy,NS,429328,600,0,79.7574018595352,79.96661101836393,7.05134388828078
24 EPG,80% True Efficacy,SS,429328,315.75,0.4728534844474095,85.47903777933624,85.53721201455377,3.070983491206523
24 EPG,80% True Efficacy,SSR1,429328,249.743,0.5829257598778341,79.71936568115119,79.87863740111422,8.779595786865423
24 EPG,80% True Efficacy,SSR2,429328,206.444,0.4827077868106297,79.68617358557469,79.81961095349948,7.120695723002115
24 EPG,80% True Efficacy,SSR3,429328,220.823,0.5163951102991183,79.66526034358114,79.76719550650374,7.864961506778093
24 EPG,95% True Efficacy,NS,427840,600,0,94.95951799959623,94.98376751920183,1.0543185905743024
24 EPG,95% True Efficacy,SS,427840,315.398,0.4734259319893799,96.39880245861404,96.41426349550342,0.5060433801633776
24 EPG,95% True Efficacy,SSR1,427840,249.578,0.5832177358174853,94.96599700808633,95.05703422053232,1.344912854622883
24 EPG,95% True Efficacy,SSR2,427840,206.34,0.4828946998477279,94.91838312667741,94.94560755336617,0.9978892197307802
24 EPG,95% True Efficacy,SSR3,427840,220.741,0.5166101983553901,94.95389220089739,95.00530785562633,0.8964088891102145
